name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
shibleehosen1,169,7,0.04142011834319527,0,25.0,15.061506160241,0.1073861100953443,140.25562660634998,0.0,0.014,0,10,2330,80,5,0E-14,0.125,2
steemlit,662,15,0.022658610271903322,0,54.823784611614315,1089.039927262119,1089.039927262119,1.0,81.233,204.696,0,1,102,545,20,0E-14,0.001834862385321101,2
bandopanth,355,241,0.6788732394366197,1,27.91634375109041,15.075342941472464,0.14425490163564625,104.50489217724618,0.003,0.079,0,25,937,157,23,0.11464968152866,0.1592356687898089,2
soufianezelmimi,255,102,0.4,1,29.773580923173803,15.042253894539838,0.28124353806532015,53.48479825711126,0.018,0.316,22,26,1388,170,19,0.01176470588235,0.15294117647058825,2
syedmohsin50,185,50,0.2702702702702703,0,25.056787690780503,15.003789442516284,0.10002541665129513,149.9997695068038,0.0,0.0,2,30,760,57,6,0E-14,0.5263157894736842,2
touroo,20,0,0.0,0,55.231277133421216,66.13873533356038,66.13873533356038,1.0,0.001,122.013,0,0,0,60,7,0E-14,0.0,2
forrestphotos,745,221,0.2966442953020134,0,44.75735957730966,15.002064548992493,5.6875536692684765,2.637700744707352,0.066,15.665,0,10,434,341,10,0E-14,0.02932551319648094,2
smartkhan,466,80,0.17167381974248927,2,59.163631789937185,58.574360513032794,98.59790117066069,0.5940730970697629,2.733,466.657,3,11,1023,312,13,0E-14,0.035256410256410256,2
fresherworld87,545,301,0.5522935779816514,1,35.76258084598515,15.056083998424134,1.208576888899141,12.457696433479132,0.014,1.184,0,111,202,142,17,0E-14,0.7816901408450704,2
asad5829,203,45,0.22167487684729065,1,30.87992064087603,15.010172382470254,0.10006818858038795,149.9994413350663,0.0,0.0,0,6,204,338,100,0E-14,0.01775147928994083,2
sundesha,229,219,0.9563318777292577,0,28.586051642096656,15.03979256210591,0.11020148107129421,136.475412271238,0.004,0.011,0,27,431,183,11,0.03825136612021,0.14754098360655737,2
aguskhairi,618,59,0.09546925566343042,1,25.0,15.044915981591465,0.6177908839069219,24.352764622305713,0.001,0.024,0,8,580,70,11,0.01428571428571,0.11428571428571428,2
teacherf,594,691,1.1632996632996633,0,50.97959717180852,49.135299168693116,39.051360076655754,1.2582224811694938,0.303,62.449,0,126,1656,760,35,0.03552631578947,0.16578947368421051,2
arifsardar,360,462,1.2833333333333334,0,32.874157583452295,15.08444058003304,0.3119731712925497,48.351723699624664,0.001,0.411,0,136,669,111,18,0E-14,1.2252252252252251,2
launglilawangsa,986,227,0.2302231237322515,9,44.43612676704612,15.001808932860225,6.796458282048162,2.207298023513994,0.013,12.334,0,278,1129,1025,56,0.00585365853658,0.27121951219512197,2
khaidir1990,463,1314,2.838012958963283,4,45.62199379512667,15.000230604466969,7.517496038228966,1.9953759241356177,0.016,14.39,8,124,1368,571,42,0.01050788091068,0.2171628721541156,2
muhammad007,302,130,0.4304635761589404,2,43.142150111589814,115.15019023728848,5.828342384315587,19.756936474282025,0.098,7.034,0,55,458,1230,45,0.04878048780487,0.044715447154471545,2
bosveldtzaneen,1907,2197,1.152071316203461,11,0.9982657980886813,15.03261363085755,4.388131165769892,3.42574391306284,0.134,4.721,30,20,954,107,23,0E-14,0.18691588785046728,2
fln,21,0,0.0,0,54.799248488035,64.76686032817467,64.76686032817467,1.0,0.0,119.284,0,0,0,68,6,0E-14,0.0,2
steem001,164,0,0.0,2,52.58501383878368,42.843435716624796,42.843435716624796,1.0,0.0,98.986,0,1,129,321,12,0E-14,0.003115264797507788,2
fatimaah,290,253,0.8724137931034482,15,10.06834883377008,15.00086914842498,1.1123446060887088,13.485811021435088,0.003,1.489,4,41,1665,696,24,0.01293103448275,0.05890804597701149,2
ifechigosage,320,124,0.3875,2,41.38039990447301,13.615620560395683,2.185739216901579,6.229297829819182,0.013,5.15,6,35,2586,82,45,0.09756097560975,0.4268292682926829,2
ydon0077,318,807,2.5377358490566038,2,45.82976947672918,162.61644249025017,5.493719749625727,29.600425558899104,0.001,16.588,2,25,576,140,14,0E-14,0.17857142857142858,2
marya77,218,42,0.1926605504587156,0,41.00626152642269,15.00912753676424,2.7393588016534935,5.479065950654087,0.026,4.881,0,40,1016,187,17,0E-14,0.21390374331550802,2
omosomofa,225,81,0.36,0,25.0,15.01088752768392,0.10074012667541189,149.00604181340282,0.004,0.048,0,8,3276,143,29,0E-14,0.055944055944055944,2
cavalo,67,0,0.0,0,60.47629446940179,289.9263309608044,289.9263309608044,1.0,0.147,671.427,0,0,0,225,9,0E-14,0.0,2
abdoon,1958,635,0.32431052093973445,6,46.18705709888744,15.002311218081525,5.670905959744424,2.645487568402148,0.072,14.86,0,289,415,1001,40,0.10189810189810,0.2887112887112887,2
pushpak,199,27,0.135678391959799,0,30.83955053212646,3.002540258231494,3.002540258231494,1.0,0.0,0.078,0,10,3393,181,30,0.01104972375690,0.055248618784530384,2
derrick829,2356,180,0.07640067911714771,11,66.13213283197359,0.5030902163853147,103222.92882793801,4.873822338677429e-06,461.026,3815.444,0,12,321,265,5,0E-14,0.045283018867924525,2
madalinabucur,364,1575,4.326923076923077,2,39.71057546759602,15.008858245219715,2.0701877597233858,7.2499985446852255,0.011,3.794,1,71,507,186,26,0.01612903225806,0.3817204301075269,2
erochiara,998,456,0.45691382765531063,6,54.61494039893871,1003.0232792355882,229.58148227503094,4.368920652032379,51.588,212.494,0,20,424,295,18,0.00338983050847,0.06779661016949153,2
krishvardhan,220,37,0.16818181818181818,0,26.019290210707027,15.051111618330854,0.12220786393063694,123.15992714571628,0.0,0.042,1,9,1485,133,27,0.09022556390977,0.06766917293233082,2
melbourneswest,812,325,0.4002463054187192,1,52.82768996252153,125.87837271522726,125.87837271522726,1.0,0.204,92.661,1,298,896,1025,78,0.01951219512195,0.29073170731707315,2
warsishah,276,72,0.2608695652173913,0,36.50661374804619,15.073303648661746,0.8745542093867473,17.23541375351839,0.025,1.478,0,22,1038,144,39,0.14583333333333,0.1527777777777778,2
mimraz,440,75,0.17045454545454544,1,59.68616827409016,182.7657425177324,207.96370512964683,0.8788348063129298,0.121,588.402,0,162,1021,25,20,0E-14,6.48,2
reemy,634,19,0.02996845425867508,5,58.47934980569062,1086.803201226017,76.502836759893,14.206051007454656,0.503,576.599,0,3,4144,328,19,0E-14,0.009146341463414634,2
ferozk,272,12,0.04411764705882353,1,58.54141420939821,91.02860701925144,91.02860701925144,1.0,1.141,392.197,1,7,504,255,6,0E-14,0.027450980392156862,2
haja,2155,3287,1.5252900232018562,13,64.24042217890607,908.5238689105615,574.2838927563802,1.582011754761109,13.166,1827.905,0,11,270,521,27,0.00767754318618,0.02111324376199616,2
ccrystal,500,211,0.422,1,37.26014026748775,15.041230792028797,1.5545118753291045,9.675854543629285,0.003,2.995,0,53,693,94,12,0E-14,0.5638297872340425,2
amjidalishah,239,197,0.8242677824267782,0,25.0,3.0064299015230502,3.0064299015230502,1.0,0.0,0.015,1,24,1441,62,11,0E-14,0.3870967741935484,2
qaiser7736,62,2,0.03225806451612903,0,25.0,15.003789442516286,0.1000255400043426,149.99958452476136,0.0,0.0,0,2,55,100,15,0E-14,0.02,2
yourinfo,382,72,0.18848167539267016,2,52.42949085891097,442.49524153384914,18.529855722261757,23.8801234163003,2.25,92.45,0,13,1605,1041,132,0.01248799231508,0.012487992315081652,2
akkibomb007,409,247,0.6039119804400978,0,33.508187423186,15.032262811830066,1.4597406886426723,10.29789943432192,0.023,1.807,0,12,589,139,41,0.00719424460431,0.08633093525179857,2
africka,1661,619,0.37266706803130645,6,43.732595567898564,15.077940088572129,4.190640082376858,3.5980040738836685,0.106,12.969,0,206,557,171,36,0.04093567251461,1.2046783625730995,2
bhaskarthengal,237,64,0.270042194092827,0,30.47371098405049,3.8063921229458755,3.8063921229458755,1.0,0.0,0.259,2,54,411,70,19,0E-14,0.7714285714285715,2
marufhasan883,1661,1060,0.6381697772426249,7,53.43503777564452,173.9998069061302,54.22185156399042,3.2090347689580967,6.91,154.404,24,79,249,408,16,0E-14,0.19362745098039216,2
alhamiid,994,674,0.6780684104627767,1,43.22649077576148,15.014665117067155,4.359776558303157,3.443907025113903,0.023,7.527,3,54,2150,106,45,0.02830188679245,0.5094339622641509,2
dhingvimal,491,125,0.2545824847250509,1,40.745505166985474,261.3126517771586,261.3126517771586,1.0,1.028,4.213,0,14,298,145,31,0.00689655172413,0.09655172413793103,2
yonny,788,180,0.22842639593908629,4,57.31972927768973,286.5865009865132,286.5865009865132,1.0,12.625,515.178,28,11,368,231,63,0.02597402597402,0.047619047619047616,2
