name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
rumayani,482,365,0.7572614107883817,0,38.499373219735254,15.093776836302453,1.4369523697041802,10.504020282460546,0.056,2.394,29,57,6024,349,65,0.00286532951289,0.16332378223495703,2
kaleem345,7742,41962,5.4200464996125035,55,58.66942308937858,122.69773372719926,122.69773372719926,1.0,7.36,622.653,0,384,634,597,61,0.13735343383584,0.6432160804020101,2
steemitfriend,803,229,0.2851805728518057,3,61.19226932354899,1061.5963364645472,1061.5963364645472,1.0,49.103,1105.246,0,1,318,534,30,0E-14,0.0018726591760299626,2
surajj41,227,262,1.1541850220264318,0,18.736739507753644,15.020509274712964,8.039178794349322,1.86841338636115,0.012,0.15,0,73,1894,267,37,0E-14,0.27340823970037453,2
ronaldoclebber,341,448,1.313782991202346,0,34.96902546614946,81.81760360371479,81.81760360371479,1.0,0.012,0.91,10,8,2534,22,16,0E-14,0.36363636363636365,2
abhishek2130,383,105,0.2741514360313316,0,25.0,4.373041389862253,4.373041389862253,1.0,0.0,0.085,1,22,2144,140,42,0.00714285714285,0.15714285714285714,2
tanja72,243,65,0.2674897119341564,0,51.198077182864075,27.13597707834883,27.13597707834883,1.0,0.09,56.516,0,78,1917,115,65,0.02608695652173,0.6782608695652174,2
azammalik,206,107,0.5194174757281553,0,19.856001936516087,15.069513325979987,0.8354071853667202,18.03852491329111,0.0,1.441,0,155,134,32,10,0E-14,4.84375,2
don-jinero,529,2300,4.3478260869565215,1,29.23451759124257,15.07175743419115,0.24052766396541495,62.66122235469053,0.001,0.272,0,2,1370,25,17,0E-14,0.08,2
suvankar123,281,49,0.17437722419928825,1,46.190519989953565,10.657256726969573,10.657256726969573,1.0,0.38,16.546,0,13,1253,160,43,0.01250000000000,0.08125,2
sowrej,374,296,0.7914438502673797,0,52.02957042528784,60.1126009928802,60.1126009928802,1.0,0.031,79.93,0,23,3440,204,64,0.02450980392156,0.11274509803921569,2
steamwell,199,8,0.04020100502512563,1,36.17798289391141,15.001067444401397,0.6296486815838197,23.82450385930719,0.002,1.046,0,183,2113,15,13,0E-14,12.2,2
iqbalhosen,669,3649,5.45440956651719,3,33.65268804778498,15.043368162241922,0.11222977143104917,134.04079835878616,0.002,0.507,1,204,235,86,16,0.01162790697674,2.372093023255814,2
mulawarman,530,544,1.0264150943396226,2,47.47636179006738,15.002068301954584,13.399921227635573,1.1195639173620509,0.064,26.978,3,52,3489,176,81,0.01136363636363,0.29545454545454547,2
bilalabid,337,39,0.11572700296735905,0,30.865571599861127,15.020082639356035,0.7030738864425284,21.363448321706123,0.02,0.303,0,14,134,13,9,0E-14,1.0769230769230769,2
ran.koree,1167,1721,1.4747215081405314,1,55.699727654260364,111.7314396979377,111.7314396979377,1.0,0.978,195.068,14,107,1523,570,57,0.02807017543859,0.18771929824561404,2
amricunda,486,995,2.0473251028806585,4,35.83299568722158,15.076858443286094,0.39988553398257026,37.702935370358375,0.006,0.661,0,81,761,179,39,0.19553072625698,0.45251396648044695,2
khaidir1990,476,1314,2.7605042016806722,5,45.77414375696396,13.790559925950289,6.299593456419517,2.1891190314665785,0.018,14.93,8,97,1462,381,45,0.01049868766404,0.2545931758530184,2
e-moji,148,13,0.08783783783783784,1,25.0,3.001525138574131,3.001525138574131,1.0,0.0,0.0,0,16,546,47,21,0.08510638297872,0.3404255319148936,2
sahil92,304,209,0.6875,0,25.578029746920716,15.051076304861626,0.5134435583181733,29.313984100146598,0.003,0.0,2,19,173,134,18,0E-14,0.1417910447761194,2
trumpman,2221,189,0.08509680324178298,22,67.51976029845854,9168.297629030825,7235.191141057015,1.2671811221412177,217.87,5168.838,16,83,2163,903,78,0.05426356589147,0.09191583610188261,1
hussainasghar,550,193,0.3509090909090909,4,37.085193138309336,15.048383164385815,1.9124099436798794,7.868806169993844,0.01,2.736,0,62,544,148,21,0E-14,0.4189189189189189,2
ame-zzin,469,97,0.2068230277185501,2,30.29288684702258,15.04851377794335,0.7695347895920868,19.55533912368047,0.025,0.271,0,20,2210,9,9,0E-14,2.2222222222222223,2
ayoubahmed,95,44,0.4631578947368421,0,25.0,15.005575937676573,0.10003768608769575,149.99923053520328,0.0,0.0,0,2,909,59,16,0E-14,0.03389830508474576,2
princeuk12,242,459,1.896694214876033,0,36.61052352736296,15.000290947631687,0.5211935196623297,28.780655134296484,0.009,0.775,4,52,513,613,46,0.00815660685154,0.08482871125611746,2
krevasilis,674,915,1.357566765578635,3,41.778192103436844,27.635422096629696,27.635422096629696,1.0,0.03,4.681,10,150,1280,704,34,0.00426136363636,0.21306818181818182,2
poyim,285,57,0.2,1,45.507458212017326,17.754796223458236,27.79434615412374,0.6387916493881625,0.084,11.842,2,28,1603,1204,86,0.18770764119601,0.023255813953488372,2
akbarshakeel,507,410,0.8086785009861933,1,43.079917623183526,14.80179661180911,7.196185858533376,2.0568947082233646,0.039,7.352,1,49,2162,464,58,0E-14,0.10560344827586207,2
a-steemitbot,502,93,0.1852589641434263,2,25.0,15.035147048340203,0.1009030206645781,149.00591626805755,0.0,0.052,2,4,1255,7,9,0E-14,0.5714285714285714,2
